radius_um,t0_start,t5s,t15s,t40s,t2min,t10min
0.025,0.0,0.0,0.0,0.0,0.0,0.0
0.027,0.0,0.0,0.0,0.0,0.0,0.0
0.0292,0.0,0.0,0.0,0.0,0.0,0.0001
0.0315,0.0,0.0,0.0,0.0,0.0,0.0002
0.034,0.0001,0.0,0.0,0.0,0.0001,0.0006
0.0367,0.0002,0.0,0.0,0.0,0.0002,0.0017
0.0397,0.0006,0.0,0.0,0.0001,0.0004,0.0047
0.0429,0.0017,0.0,0.0,0.0002,0.0011,0.012
0.0463,0.004,0.0001,0.0001,0.0004,0.0025,0.0282
0.05,0.0091,0.0002,0.0001,0.0003,0.0014,0.0121
0.054,0.0193,0.0002,0.0,0.0002,0.0009,0.0067
0.0583,0.0384,0.0001,0.0,0.0001,0.0004,0.0023
0.063,0.0716,0.0001,0.0,0.0001,0.0002,0.0011
0.068,0.1249,0.0001,0.0,0.0,0.0001,0.0006
0.0735,0.2039,0.0,0.0,0.0,0.0001,0.0004
0.0793,0.3118,0.0,0.0,0.0,0.0001,0.0004
0.0857,0.4464,0.0,0.0,0.0,0.0001,0.0003
0.0925,0.5983,0.0,0.0,0.0,0.0001,0.0002
0.1,0.7509,0.0,0.0,0.0,0.0,0.0001
0.1079,0.8823,0.0,0.0,0.0,0.0,0.0
0.1166,0.9707,0.0,0.0,0.0,0.0,0.0
0.1259,1.0,0.0,0.0,0.0,0.0,0.0001
0.136,0.9645,0.0,0.0,0.0,0.0,0.0001
0.1469,0.8711,0.0,0.0,0.0,0.0001,0.0001
0.1586,0.7365,0.0001,0.0,0.0,0.0001,0.0003
0.1713,0.5831,0.0001,0.0,0.0,0.0001,0.0004
0.185,0.4323,0.0002,0.0,0.0001,0.0002,0.0005
0.1999,0.3,0.0002,0.0,0.0001,0.0002,0.0008
0.2158,0.195,0.0003,0.0,0.0001,0.0003,0.0009
0.2331,0.1186,0.0004,0.0,0.0001,0.0004,0.0013
0.2518,0.0676,0.0005,0.0001,0.0002,0.0005,0.0018
0.2719,0.0361,0.0007,0.0001,0.0002,0.0006,0.0023
0.2937,0.018,0.001,0.0001,0.0003,0.0008,0.0027
0.3172,0.0084,0.0013,0.0001,0.0004,0.001,0.0035
0.3426,0.0037,0.0017,0.0001,0.0005,0.0012,0.0047
0.37,0.0015,0.0022,0.0002,0.0006,0.0015,0.0058
0.3996,0.0006,0.0028,0.0002,0.0007,0.0017,0.0069
0.4316,0.0002,0.0036,0.0002,0.0008,0.0019,0.0078
0.4661,0.0001,0.0045,0.0003,0.0009,0.0022,0.0086
0.5034,0.0,0.0056,0.0003,0.001,0.0023,0.0092
0.5437,0.0,0.0069,0.0004,0.0011,0.0026,0.0107
0.5872,0.0,0.0084,0.0004,0.0012,0.0028,0.0117
0.6342,0.0,0.0101,0.0005,0.0013,0.0029,0.0121
0.685,0.0,0.0119,0.0005,0.0014,0.003,0.0121
0.7398,0.0,0.0137,0.0006,0.0015,0.0031,0.0118
0.799,0.0,0.0154,0.0006,0.0016,0.0033,0.0115
0.863,0.0,0.0169,0.0007,0.0017,0.0034,0.0113
0.932,0.0,0.0183,0.0007,0.0018,0.0037,0.0114
1.0066,0.0,0.0196,0.0008,0.002,0.004,0.0117
1.0872,0.0,0.0214,0.0009,0.0023,0.0045,0.0127
1.1742,0.0,0.0248,0.0011,0.0027,0.0054,0.0145
1.2682,0.0,0.0292,0.0013,0.0033,0.0065,0.017
1.3696,0.0,0.0343,0.0015,0.0039,0.0077,0.0201
1.4793,0.0,0.0403,0.0018,0.0047,0.0092,0.0237
1.5976,0.0,0.0469,0.0021,0.0056,0.0109,0.0278
1.7255,0.0,0.0544,0.0025,0.0066,0.0129,0.0324
1.8636,0.0,0.0627,0.003,0.0078,0.0151,0.0377
2.0127,0.0,0.072,0.0035,0.0091,0.0177,0.0436
2.1738,0.0,0.0825,0.0041,0.0107,0.0206,0.0503
2.3478,0.0,0.0942,0.0047,0.0124,0.0238,0.0578
2.5357,0.0,0.1073,0.0055,0.0143,0.0274,0.0661
2.7386,0.0,0.122,0.0063,0.0165,0.0313,0.0752
2.9578,0.0,0.1382,0.0073,0.0188,0.0357,0.0852
3.1945,0.0,0.1562,0.0083,0.0214,0.0405,0.0961
3.4502,0.0,0.176,0.0094,0.0243,0.0458,0.108
3.7263,0.0,0.1979,0.0106,0.0274,0.0515,0.1209
4.0245,0.0,0.2221,0.0119,0.0307,0.0577,0.1349
4.3466,0.0,0.2489,0.0134,0.0344,0.0644,0.15
4.6944,0.0,0.2789,0.0149,0.0383,0.0716,0.1663
5.0701,0.0,0.3128,0.0166,0.0426,0.0795,0.1839
5.4759,0.0,0.3515,0.0184,0.0471,0.0879,0.2029
5.9141,0.0,0.3961,0.0203,0.052,0.097,0.2231
6.3874,0.0,0.4475,0.0224,0.0573,0.1067,0.2447
6.8986,0.0,0.5064,0.0246,0.0629,0.117,0.2676
7.4507,0.0,0.5729,0.0269,0.0689,0.1281,0.292
8.047,0.0,0.6461,0.0294,0.0754,0.14,0.3179
8.691,0.0,0.7236,0.0321,0.0822,0.1527,0.3453
9.3865,0.0,0.8018,0.035,0.0895,0.1661,0.3743
10.1377,0.0,0.8754,0.0381,0.0973,0.1805,0.405
10.9491,0.0,0.9379,0.0413,0.1056,0.1958,0.4373
11.8253,0.0,0.9819,0.0448,0.1145,0.212,0.4712
12.7717,0.0,1.0,0.0485,0.1239,0.2292,0.5067
13.7938,0.0,0.9861,0.0524,0.1339,0.2474,0.5436
14.8978,0.0,0.9368,0.0566,0.1445,0.2668,0.582
16.09,0.0,0.8527,0.0611,0.1558,0.2873,0.6218
17.3777,0.0,0.7394,0.0658,0.1678,0.309,0.6629
18.7685,0.0,0.6072,0.0708,0.1805,0.332,0.7051
20.2705,0.0,0.4693,0.0761,0.194,0.3562,0.7481
21.8927,0.0,0.3395,0.0818,0.2084,0.3818,0.7913
23.6448,0.0,0.2286,0.0879,0.2237,0.4089,0.8344
25.5371,0.0,0.1427,0.0944,0.2399,0.4373,0.8763
27.5809,0.0,0.0824,0.1013,0.257,0.4672,0.9157
29.7882,0.0,0.0438,0.1086,0.2752,0.4986,0.9507
32.1721,0.0,0.0215,0.1163,0.2945,0.5316,0.9788
34.7469,0.0,0.0098,0.1243,0.3148,0.5659,0.9965
37.5277,0.0,0.0041,0.133,0.3363,0.6018,1.0
40.531,0.0,0.0016,0.1423,0.3592,0.6389,0.9853
43.7747,0.0,0.0006,0.1524,0.3834,0.6773,0.9487
47.278,0.0,0.0002,0.163,0.4089,0.7166,0.888
51.0617,0.0,0.0001,0.1741,0.4357,0.7568,0.8031
55.1482,0.0,0.0,0.1856,0.4638,0.7973,0.697
59.5617,0.0,0.0,0.1976,0.4933,0.8378,0.5762
64.3284,0.0,0.0,0.2104,0.5243,0.8774,0.4498
69.4767,0.0,0.0,0.2243,0.5569,0.915,0.3286
75.0369,0.0,0.0,0.2397,0.5912,0.9488,0.2224
81.0421,0.0,0.0,0.2566,0.6272,0.9764,0.138
87.5279,0.0,0.0,0.2753,0.6646,0.9948,0.0777
94.5328,0.0,0.0,0.291,0.7007,1.0,0.0392
102.0983,0.0,0.0,0.3079,0.7376,0.9881,0.0176
110.2692,0.0,0.0,0.3206,0.7725,0.9554,0.0069
119.0941,0.0,0.0,0.3338,0.8083,0.8992,0.0024
128.6252,0.0,0.0,0.3515,0.8464,0.819,0.0007
138.9192,0.0,0.0,0.3743,0.8853,0.717,0.0002
150.0369,0.0,0.0,0.403,0.9231,0.5991,0.0
162.0444,0.0,0.0,0.4389,0.9571,0.4737,0.0
175.0128,0.0,0.0,0.4837,0.984,0.3514,0.0
189.0191,0.0,0.0,0.5394,0.9998,0.2422,0.0
204.1464,0.0,0.0,0.6089,1.0,0.1536,0.0
220.4843,0.0,0.0,0.6954,0.9801,0.0887,0.0
238.1297,0.0,0.0,0.8027,0.9363,0.0462,0.0
257.1872,0.0,0.0,0.9336,0.8664,0.0215,0.0
277.77,0.0,0.0,1.0,0.7346,0.0088,0.0
300.0,0.0,0.0,0.1839,0.1307,0.0013,0.0
