time_min,optical_depth_brine,resolved_pct_brine,optical_depth_DI,resolved_pct_DI
1.0,1.9977,95.02,2.7525,95.93
2.0,1.0272,97.21,1.4815,97.47
3.0,0.71,97.88,1.0151,98.02
4.0,0.5507,98.2,0.7751,98.31
5.01,0.454,98.39,0.6294,98.48
6.0,0.3893,98.51,0.5325,98.6
7.0,0.3425,98.6,0.4619,98.68
8.01,0.3071,98.67,0.4096,98.75
9.01,0.2791,98.72,0.3685,98.79
10.01,0.2567,98.76,0.3353,98.83
11.01,0.2383,98.79,0.3078,98.86
12.0,0.2229,98.81,0.2849,98.89
13.01,0.2095,98.84,0.2655,98.91
14.02,0.198,98.86,0.2486,98.93
15.03,0.188,98.87,0.2339,98.95
16.02,0.1793,98.89,0.221,98.96
17.02,0.1715,98.9,0.2097,98.97
18.01,0.1645,98.91,0.1993,98.99
19.02,0.1582,98.92,0.1903,99.0
20.01,0.1525,98.93,0.1819,99.0
21.0,0.1473,98.94,0.1742,99.01
22.02,0.1425,98.95,0.1674,99.02
23.02,0.1382,98.95,0.1611,99.03
24.01,0.1342,98.96,0.1552,99.03
25.01,0.1304,98.97,0.15,99.04
26.02,0.1269,98.97,0.1448,99.04
27.01,0.1237,98.98,0.1402,99.05
28.04,0.1206,98.98,0.1359,99.05
29.03,0.1178,98.99,0.1317,99.06
30.05,0.1151,98.99,0.1281,99.06
31.03,0.1127,98.99,0.1245,99.07
32.06,0.1103,99.0,0.1212,99.07
33.02,0.1081,99.0,0.118,99.07
34.06,0.1059,99.0,0.1149,99.08
35.0,0.1041,99.01,0.1122,99.08
36.03,0.1021,99.01,0.1096,99.08
37.04,0.1003,99.01,0.107,99.08
38.01,0.0986,99.02,0.1047,99.09
39.0,0.097,99.02,0.1023,99.09
40.02,0.0954,99.02,0.1001,99.09
41.05,0.0938,99.02,0.0981,99.09
42.04,0.0924,99.02,0.0961,99.1
43.04,0.0911,99.03,0.0942,99.1
44.04,0.0897,99.03,0.0924,99.1
45.04,0.0885,99.03,0.0907,99.1
46.04,0.0873,99.03,0.089,99.1
47.04,0.0861,99.03,0.0874,99.1
48.04,0.085,99.04,0.0859,99.11
49.04,0.0839,99.04,0.0844,99.11
50.04,0.0828,99.04,0.083,99.11
51.04,0.0818,99.04,0.0816,99.11
52.04,0.0808,99.04,0.0803,99.11
53.04,0.0799,99.04,0.0791,99.11
54.04,0.0789,99.04,0.0779,99.11
55.04,0.0781,99.04,0.0767,99.12
56.04,0.0772,99.05,0.0755,99.12
57.04,0.0763,99.05,0.0744,99.12
58.04,0.0755,99.05,0.0734,99.12
59.04,0.0747,99.05,0.0723,99.12
60.04,0.074,99.05,0.0714,99.12
61.04,0.0732,99.05,0.0704,99.12
62.04,0.0725,99.05,0.0695,99.12
63.04,0.0718,99.05,0.0685,99.12
64.04,0.0711,99.05,0.0677,99.13
65.04,0.0705,99.06,0.0668,99.13
66.04,0.0698,99.06,0.066,99.13
67.04,0.0692,99.06,0.0652,99.13
68.04,0.0685,99.06,0.0644,99.13
69.04,0.0679,99.06,0.0636,99.13
70.04,0.0673,99.06,0.0629,99.13
71.04,0.0668,99.06,0.0622,99.13
72.04,0.0662,99.06,0.0615,99.13
73.04,0.0657,99.06,0.0608,99.13
74.04,0.0651,99.06,0.0601,99.13
75.04,0.0646,99.06,0.0595,99.13
76.04,0.0641,99.06,0.0588,99.13
77.04,0.0636,99.06,0.0582,99.14
78.04,0.0631,99.07,0.0576,99.14
79.04,0.0626,99.07,0.057,99.14
80.04,0.0621,99.07,0.0565,99.14
81.04,0.0617,99.07,0.0559,99.14
82.04,0.0612,99.07,0.0554,99.14
83.04,0.0608,99.07,0.0548,99.14
84.04,0.0603,99.07,0.0543,99.14
85.04,0.0599,99.07,0.0538,99.14
86.04,0.0595,99.07,0.0533,99.14
87.04,0.0591,99.07,0.0528,99.14
88.04,0.0587,99.07,0.0523,99.14
89.04,0.0583,99.07,0.0519,99.14
90.04,0.0579,99.07,0.0514,99.14
